job_ad_id,job_type,job_fed_contractor,job_ownership,job_req_communication,job_req_organization,received_callback,honors,worked_during_school,special_skills,volunteer,military,employment_holes,experience_delta,computer_match,school_match
384,2,0,4,0,0,0,0,0,0,0,0,1,1,1,2
384,2,0,4,0,0,0,0,1,0,1,1,0,1,1,2
384,2,0,4,0,0,0,0,1,0,0,0,0,1,1,2
384,2,0,4,0,0,0,0,0,1,1,0,1,1,1,2
385,3,0,3,0,1,0,0,1,0,0,0,0,22,1,2
386,5,0,1,0,0,0,1,0,1,0,0,0,6,3,2
386,5,0,1,0,0,0,0,1,1,1,0,0,5,2,2
385,3,0,3,0,1,0,0,0,1,1,0,1,21,1,2
386,5,0,1,0,0,0,0,0,1,0,0,0,3,2,2
386,5,0,1,0,0,0,0,1,1,1,0,0,6,3,2
387,3,0,3,0,0,0,0,0,1,1,0,1,8,1,2
387,3,0,3,0,0,0,0,1,0,0,0,0,8,1,2
388,3,0,1,1,1,0,0,0,1,0,0,1,4,1,2
388,3,0,1,1,1,0,0,1,0,0,0,0,4,1,2
389,5,0,4,0,0,0,0,0,1,1,0,0,5,3,2
389,5,0,4,0,0,0,0,0,1,0,0,0,4,2,2
389,5,0,4,0,0,0,0,1,0,1,0,0,5,3,2
389,5,0,4,0,0,0,0,0,1,0,0,0,6,3,2
390,6,0,1,0,0,0,1,1,1,1,0,0,6,3,2
390,6,0,1,0,0,0,0,0,0,0,0,1,8,3,2
390,6,0,1,0,0,0,0,1,1,1,0,0,4,2,2
390,6,0,1,0,0,0,0,0,1,0,0,0,3,2,2
392,1,0,4,0,0,0,0,0,0,0,0,0,2,3,1
391,3,1,3,0,0,0,0,0,0,0,0,1,7,1,1
392,1,0,4,0,0,0,0,0,1,1,0,0,3,2,2
391,3,1,3,0,0,0,0,1,0,0,0,1,6,1,1
392,1,0,4,0,0,0,0,0,1,1,0,0,4,2,1
391,3,1,3,0,0,0,0,0,1,1,0,1,6,1,3
391,3,1,3,0,0,0,0,1,0,0,0,0,7,1,3
392,1,0,4,0,0,0,0,0,1,0,0,0,2,2,2
393,3,0,4,0,0,0,0,0,0,0,0,0,6,1,2
393,3,0,4,0,0,0,0,1,0,0,0,0,6,1,2
393,3,0,4,0,0,0,0,0,0,1,0,1,9,1,2
393,3,0,4,0,0,0,1,1,0,0,0,1,6,1,2
395,1,0,4,0,0,0,0,0,0,0,0,0,4,3,2
394,4,0,1,1,0,0,0,1,0,1,0,0,2,1,2
394,4,0,1,1,0,0,0,0,0,0,0,1,1,1,2
395,1,0,4,0,0,0,0,0,1,0,0,0,3,3,2
394,4,0,1,1,0,0,0,1,0,1,1,0,1,1,2
395,1,0,4,0,0,0,0,1,1,1,0,0,5,3,2
394,4,0,1,1,0,0,1,0,0,0,0,1,2,1,2
395,1,0,4,0,0,0,0,1,1,1,0,0,5,3,2
