job_ad_id,job_type,job_fed_contractor,job_ownership,job_req_communication,job_req_organization,received_callback,honors,worked_during_school,special_skills,volunteer,military,employment_holes,experience_delta,computer_match,school_match
384,supervisor,0,unknown,0,0,0,0,0,0,0,0,1,1,RY,NC
384,supervisor,0,unknown,0,0,0,0,1,0,1,1,0,1,RY,NS
384,supervisor,0,unknown,0,0,0,0,1,0,0,0,0,1,RY,NC
384,supervisor,0,unknown,0,0,0,0,0,1,1,0,1,1,RY,NS
385,secretary,0,nonprofit,0,1,0,0,1,0,0,0,0,22,RY,NS
386,sales_rep,0,private,0,0,0,1,0,1,0,0,0,6,NN,NC
386,sales_rep,0,private,0,0,0,0,1,1,1,0,0,5,NY,NC
385,secretary,0,nonprofit,0,1,0,0,0,1,1,0,1,21,RY,NS
386,sales_rep,0,private,0,0,0,0,0,1,0,0,0,3,NY,NC
386,sales_rep,0,private,0,0,0,0,1,1,1,0,0,6,NN,NC
387,secretary,0,nonprofit,0,0,0,0,0,1,1,0,1,8,RY,NC
387,secretary,0,nonprofit,0,0,0,0,1,0,0,0,0,8,RY,NC
388,secretary,0,private,1,1,0,0,0,1,0,0,1,4,RY,NC
388,secretary,0,private,1,1,0,0,1,0,0,0,0,4,RY,NC
389,sales_rep,0,unknown,0,0,0,0,0,1,1,0,0,5,NN,NC
389,sales_rep,0,unknown,0,0,0,0,0,1,0,0,0,4,NY,NS
389,sales_rep,0,unknown,0,0,0,0,1,0,1,0,0,5,NN,NC
389,sales_rep,0,unknown,0,0,0,0,0,1,0,0,0,6,NN,NC
390,retail_sales,0,private,0,0,0,1,1,1,1,0,0,6,NN,NC
390,retail_sales,0,private,0,0,0,0,0,0,0,0,1,8,NN,NS
390,retail_sales,0,private,0,0,0,0,1,1,1,0,0,4,NY,NC
390,retail_sales,0,private,0,0,0,0,0,1,0,0,0,3,NY,NC
392,manager,0,unknown,0,0,0,0,0,0,0,0,0,2,NN,SS
391,secretary,1,nonprofit,0,0,0,0,0,0,0,0,1,7,RY,CC
392,manager,0,unknown,0,0,0,0,0,1,1,0,0,3,NY,SC
391,secretary,1,nonprofit,0,0,0,0,1,0,0,0,1,6,RY,CC
392,manager,0,unknown,0,0,0,0,0,1,1,0,0,4,NY,SS
391,secretary,1,nonprofit,0,0,0,0,0,1,1,0,1,6,RY,CS
391,secretary,1,nonprofit,0,0,0,0,1,0,0,0,0,7,RY,CS
392,manager,0,unknown,0,0,0,0,0,1,0,0,0,2,NY,SC
393,secretary,0,unknown,0,0,0,0,0,0,0,0,0,6,RY,NS
393,secretary,0,unknown,0,0,0,0,1,0,0,0,0,6,RY,NS
393,secretary,0,unknown,0,0,0,0,0,0,1,0,1,9,RY,NS
393,secretary,0,unknown,0,0,0,1,1,0,0,0,1,6,RY,NC
395,manager,0,unknown,0,0,0,0,0,0,0,0,0,4,NN,NS
394,clerical,0,private,1,0,0,0,1,0,1,0,0,2,RY,NS
394,clerical,0,private,1,0,0,0,0,0,0,0,1,1,RY,NC
395,manager,0,unknown,0,0,0,0,0,1,0,0,0,3,NN,NC
394,clerical,0,private,1,0,0,0,1,0,1,1,0,1,RY,NS
395,manager,0,unknown,0,0,0,0,1,1,1,0,0,5,NN,NC
394,clerical,0,private,1,0,0,1,0,0,0,0,1,2,RY,NC
395,manager,0,unknown,0,0,0,0,1,1,1,0,0,5,NN,NC
396,manager,0,unknown,0,0,0,0,0,0,1,0,1,5,NY,CC
396,manager,0,unknown,0,0,0,0,1,0,0,0,0,4,NY,CC
396,manager,0,unknown,0,0,0,0,0,1,0,0,1,3,NY,CC
396,manager,0,unknown,0,0,0,0,0,0,1,0,1,5,NY,CS
397,manager,0,unknown,0,0,0,0,0,1,1,0,1,4,NY,NN
397,manager,0,unknown,0,0,0,0,1,1,1,0,0,5,NN,NC
398,secretary,0,public,0,0,0,0,0,0,0,0,1,4,NY,NC
398,secretary,0,public,0,0,0,0,1,1,0,0,0,5,NY,NC
398,secretary,0,public,0,0,0,0,1,0,0,0,1,6,NY,NC
398,secretary,0,public,0,0,0,0,1,0,1,0,0,6,NY,NC
399,secretary,0,private,0,0,0,0,1,1,0,0,1,13,NY,NC
399,secretary,0,private,0,0,0,1,0,1,0,0,1,19,NY,NC
400,manager,1,private,0,0,0,0,1,0,1,0,0,5,NN,NS
399,secretary,0,private,0,0,0,0,0,1,0,1,1,7,NY,NC
399,secretary,0,private,0,0,0,0,1,0,0,0,1,21,NY,NC
400,manager,1,private,0,0,0,0,1,1,1,0,0,5,NN,NS
401,secretary,0,nonprofit,0,0,0,0,1,1,0,0,1,4,RY,SC
401,secretary,0,nonprofit,0,0,0,0,1,1,0,0,0,5,RY,SC
401,secretary,0,nonprofit,0,0,0,0,1,0,0,0,0,6,RY,SC
401,secretary,0,nonprofit,0,0,0,0,1,0,1,0,0,5,RY,SS
403,manager,0,unknown,0,0,0,0,0,1,1,0,0,5,NY,NN
402,secretary,0,private,0,0,0,0,0,0,0,0,0,6,NN,NC
403,manager,0,unknown,0,0,0,0,1,0,1,0,0,6,NN,NC
402,secretary,0,private,0,0,0,0,0,1,0,0,1,6,NY,NC
402,secretary,0,private,0,0,0,1,1,0,0,0,1,6,NY,NC
402,secretary,0,private,0,0,0,0,1,0,1,1,0,4,NY,NS
404,clerical,0,private,1,1,0,0,0,0,1,0,1,8,RY,NC
404,clerical,0,private,1,1,0,0,1,0,0,0,1,5,RY,NC
405,retail_sales,0,unknown,0,0,0,0,0,1,1,0,0,5,NN,NC
405,retail_sales,0,unknown,0,0,0,0,0,1,1,0,0,5,NY,NS
404,clerical,0,private,1,1,0,0,1,0,0,0,0,6,RY,NS
405,retail_sales,0,unknown,0,0,0,0,0,1,0,0,0,5,NN,NC
